Prefecture,2006,2007,2008,2009,2010,2011,2012,2013
Total,1.32,1.34,1.37,1.37,1.39,1.39,1.41,1.43
01 Hokkaido,1.18,1.19,1.2,1.19,1.26,1.25,1.26,1.28
02 Aomori,1.31,1.28,1.3,1.26,1.38,1.38,1.36,1.4
03 Iwate,1.39,1.39,1.39,1.37,1.46,1.41,1.44,1.46
04 Miyagi,1.25,1.27,1.29,1.25,1.3,1.25,1.3,1.34
05 Akita,1.34,1.31,1.32,1.29,1.31,1.35,1.37,1.35
06 Yamagata,1.45,1.42,1.44,1.39,1.48,1.46,1.44,1.47
07 Fukushima,1.49,1.49,1.52,1.49,1.52,1.48,1.41,1.53
08 Ibaraki,1.35,1.35,1.37,1.37,1.44,1.39,1.41,1.42
09 Tochigi,1.4,1.39,1.42,1.43,1.44,1.38,1.43,1.43
10 Gunma,1.36,1.36,1.4,1.38,1.46,1.41,1.39,1.41
11 Saitama,1.24,1.26,1.28,1.28,1.32,1.28,1.29,1.33
12 Chiba,1.23,1.25,1.29,1.31,1.34,1.31,1.31,1.33
13 Tokyo,1.02,1.05,1.09,1.12,1.12,1.06,1.09,1.13
14 Kanagawa,1.23,1.25,1.27,1.28,1.31,1.27,1.3,1.31
15 Niigata,1.37,1.37,1.37,1.37,1.43,1.41,1.43,1.44
16 Toyama,1.34,1.34,1.38,1.37,1.42,1.37,1.42,1.43
17 Ishikawa,1.36,1.4,1.41,1.4,1.44,1.43,1.47,1.49
18 Fukui,1.5,1.52,1.54,1.55,1.61,1.56,1.6,1.6
19 Yamanashi,1.34,1.35,1.35,1.31,1.46,1.41,1.43,1.44
20 Nagano,1.44,1.47,1.45,1.43,1.53,1.5,1.51,1.54
21 Gifu,1.35,1.34,1.35,1.37,1.48,1.44,1.45,1.45
22 Shizuoka,1.39,1.44,1.44,1.43,1.54,1.49,1.52,1.53
23 Aichi,1.36,1.38,1.43,1.43,1.52,1.46,1.46,1.47
24 Mie,1.35,1.37,1.38,1.4,1.51,1.47,1.47,1.49
25 Shiga,1.41,1.42,1.45,1.44,1.54,1.51,1.53,1.53
26 Kyoto,1.19,1.18,1.22,1.2,1.28,1.25,1.23,1.26
27 Osaka,1.22,1.24,1.28,1.28,1.33,1.3,1.31,1.32
28 Hyogo,1.28,1.3,1.34,1.33,1.41,1.4,1.4,1.42
29 Nara,1.22,1.22,1.22,1.23,1.29,1.27,1.32,1.31
30 Wakayama,1.34,1.34,1.41,1.36,1.47,1.49,1.53,1.52
31 Tottori,1.51,1.47,1.43,1.46,1.54,1.58,1.57,1.62
32 Shimane,1.53,1.53,1.51,1.55,1.68,1.61,1.68,1.65
33 Okayama,1.4,1.41,1.43,1.39,1.5,1.48,1.47,1.49
34 Hiroshima,1.37,1.43,1.45,1.47,1.55,1.53,1.54,1.57
35 Yamaguchi,1.4,1.42,1.43,1.43,1.56,1.52,1.52,1.56
36 Tokushima,1.31,1.3,1.3,1.35,1.42,1.43,1.44,1.43
37 Kagawa,1.42,1.48,1.47,1.48,1.57,1.56,1.56,1.59
38 Ehime,1.37,1.4,1.4,1.41,1.5,1.51,1.52,1.52
39 Kochi,1.33,1.31,1.36,1.29,1.42,1.39,1.43,1.47
40 Fukuoka,1.3,1.34,1.37,1.37,1.44,1.42,1.43,1.45
41 Saga,1.5,1.51,1.55,1.49,1.61,1.61,1.61,1.59
42 Nagasaki,1.49,1.48,1.5,1.5,1.61,1.6,1.63,1.64
43 Kumamoto,1.5,1.54,1.58,1.58,1.62,1.62,1.62,1.65
44 Oita,1.45,1.47,1.53,1.5,1.56,1.55,1.53,1.56
45 Miyazaki,1.55,1.59,1.6,1.61,1.68,1.68,1.67,1.72
46 Kagoshima,1.51,1.54,1.59,1.56,1.62,1.64,1.64,1.63
47 Okinawa,1.74,1.75,1.78,1.79,1.87,1.86,1.9,1.94
