Prefecture,2006,2007,2008,2009,2010,2011,2012,2013,pop,nucl
Total,1.32,1.34,1.37,1.37,1.39,1.39,1.41,1.43,,0
01 Hokkaido,1.18,1.19,1.2,1.19,1.26,1.25,1.26,1.28,5506419,0
02 Aomori,1.31,1.28,1.3,1.26,1.38,1.38,1.36,1.4,1373339,0
03 Iwate,1.39,1.39,1.39,1.37,1.46,1.41,1.44,1.46,1330147,0
04 Miyagi,1.25,1.27,1.29,1.25,1.3,1.25,1.3,1.34,2348165,0
05 Akita,1.34,1.31,1.32,1.29,1.31,1.35,1.37,1.35,1085997,0
06 Yamagata,1.45,1.42,1.44,1.39,1.48,1.46,1.44,1.47,1168924,0
07 Fukushima,1.49,1.49,1.52,1.49,1.52,1.48,1.41,1.53,2029064,1
08 Ibaraki,1.35,1.35,1.37,1.37,1.44,1.39,1.41,1.42,2969770,0
09 Tochigi,1.4,1.39,1.42,1.43,1.44,1.38,1.43,1.43,2007683,0
10 Gunma,1.36,1.36,1.4,1.38,1.46,1.41,1.39,1.41,2008068,0
11 Saitama,1.24,1.26,1.28,1.28,1.32,1.28,1.29,1.33,7194556,0
12 Chiba,1.23,1.25,1.29,1.31,1.34,1.31,1.31,1.33,6216289,0
13 Tokyo,1.02,1.05,1.09,1.12,1.12,1.06,1.09,1.13,13159388,0
14 Kanagawa,1.23,1.25,1.27,1.28,1.31,1.27,1.3,1.31,9048331,0
15 Niigata,1.37,1.37,1.37,1.37,1.43,1.41,1.43,1.44,2374450,0
16 Toyama,1.34,1.34,1.38,1.37,1.42,1.37,1.42,1.43,1093247,0
17 Ishikawa,1.36,1.4,1.41,1.4,1.44,1.43,1.47,1.49,1169788,0
18 Fukui,1.5,1.52,1.54,1.55,1.61,1.56,1.6,1.6,806314,0
19 Yamanashi,1.34,1.35,1.35,1.31,1.46,1.41,1.43,1.44,863075,0
20 Nagano,1.44,1.47,1.45,1.43,1.53,1.5,1.51,1.54,2152449,0
21 Gifu,1.35,1.34,1.35,1.37,1.48,1.44,1.45,1.45,2080773,0
22 Shizuoka,1.39,1.44,1.44,1.43,1.54,1.49,1.52,1.53,3765007,0
23 Aichi,1.36,1.38,1.43,1.43,1.52,1.46,1.46,1.47,7410719,0
24 Mie,1.35,1.37,1.38,1.4,1.51,1.47,1.47,1.49,1854724,0
25 Shiga,1.41,1.42,1.45,1.44,1.54,1.51,1.53,1.53,1410777,0
26 Kyoto,1.19,1.18,1.22,1.2,1.28,1.25,1.23,1.26,2636092,0
27 Osaka,1.22,1.24,1.28,1.28,1.33,1.3,1.31,1.32,8865245,0
28 Hyogo,1.28,1.3,1.34,1.33,1.41,1.4,1.4,1.42,5588133,0
29 Nara,1.22,1.22,1.22,1.23,1.29,1.27,1.32,1.31,1400728,0
30 Wakayama,1.34,1.34,1.41,1.36,1.47,1.49,1.53,1.52,1002198,0
31 Tottori,1.51,1.47,1.43,1.46,1.54,1.58,1.57,1.62,588667,0
32 Shimane,1.53,1.53,1.51,1.55,1.68,1.61,1.68,1.65,717397,0
33 Okayama,1.4,1.41,1.43,1.39,1.5,1.48,1.47,1.49,1945276,0
34 Hiroshima,1.37,1.43,1.45,1.47,1.55,1.53,1.54,1.57,2860750,0
35 Yamaguchi,1.4,1.42,1.43,1.43,1.56,1.52,1.52,1.56,1451338,0
36 Tokushima,1.31,1.3,1.3,1.35,1.42,1.43,1.44,1.43,785491,0
37 Kagawa,1.42,1.48,1.47,1.48,1.57,1.56,1.56,1.59,995842,0
38 Ehime,1.37,1.4,1.4,1.41,1.5,1.51,1.52,1.52,1431493,0
39 Kochi,1.33,1.31,1.36,1.29,1.42,1.39,1.43,1.47,764456,0
40 Fukuoka,1.3,1.34,1.37,1.37,1.44,1.42,1.43,1.45,5071968,0
41 Saga,1.5,1.51,1.55,1.49,1.61,1.61,1.61,1.59,849788,0
42 Nagasaki,1.49,1.48,1.5,1.5,1.61,1.6,1.63,1.64,1426779,0
43 Kumamoto,1.5,1.54,1.58,1.58,1.62,1.62,1.62,1.65,1817426,0
44 Oita,1.45,1.47,1.53,1.5,1.56,1.55,1.53,1.56,1196529,0
45 Miyazaki,1.55,1.59,1.6,1.61,1.68,1.68,1.67,1.72,1135233,0
46 Kagoshima,1.51,1.54,1.59,1.56,1.62,1.64,1.64,1.63,1706242,0
47 Okinawa,1.74,1.75,1.78,1.79,1.87,1.86,1.9,1.94,1392818,0
