pref,pop,quake,tfr_2010,tfr_2011,tfr_diff
1,5506419,0,1.26,1.25,-0.01
2,1373339,0,1.38,1.38,0
3,1330147,0,1.46,1.41,-0.05
4,2348165,0,1.3,1.25,-0.05
5,1085997,0,1.31,1.35,0.04
6,1168924,0,1.48,1.46,-0.02
7,2029064,1,1.52,1.48,-0.04
8,2969770,1,1.44,1.39,-0.05
9,2007683,0,1.44,1.38,-0.06
10,2008068,0,1.46,1.41,-0.05
11,7194556,0,1.32,1.28,-0.04
12,6216289,0,1.34,1.31,-0.03
13,13159388,0,1.12,1.06,-0.06
14,9048331,0,1.31,1.27,-0.04
15,2374450,0,1.43,1.41,-0.02
16,1093247,0,1.42,1.37,-0.05
17,1169788,0,1.44,1.43,-0.01
18,806314,0,1.61,1.56,-0.05
19,863075,0,1.46,1.41,-0.05
20,2152449,0,1.53,1.5,-0.03
21,2080773,0,1.48,1.44,-0.04
22,3765007,0,1.54,1.49,-0.05
23,7410719,0,1.52,1.46,-0.06
24,1854724,0,1.51,1.47,-0.04
25,1410777,0,1.54,1.51,-0.03
26,2636092,0,1.28,1.25,-0.03
27,8865245,0,1.33,1.3,-0.03
28,5588133,0,1.41,1.4,-0.01
29,1400728,0,1.29,1.27,-0.02
30,1002198,0,1.47,1.49,0.02
31,588667,0,1.54,1.58,0.04
32,717397,0,1.68,1.61,-0.07
33,1945276,0,1.5,1.48,-0.02
34,2860750,0,1.55,1.53,-0.02
35,1451338,0,1.56,1.52,-0.04
36,785491,0,1.42,1.43,0.01
37,995842,0,1.57,1.56,-0.01
38,1431493,0,1.5,1.51,0.01
39,764456,0,1.42,1.39,-0.03
40,5071968,0,1.44,1.42,-0.02
41,849788,0,1.61,1.61,0
42,1426779,0,1.61,1.6,-0.01
43,1817426,0,1.62,1.62,0
44,1196529,0,1.56,1.55,-0.01
45,1135233,0,1.68,1.68,0
46,1706242,0,1.62,1.64,0.02
47,1392818,0,1.87,1.86,-0.01
